Designator,Mid X,Mid Y,Rotation,Layer
D1,249.908892,-102.680562,0.0,bottom
D10,192.86,-120.14,0.0,bottom
D11,173.81,-133.14,0.0,bottom
D13,250.01,-142.19,0.0,bottom
D14,230.96,-139.19,0.0,bottom
D15,211.91,-133.19,0.0,bottom
D16,192.86,-139.19,0.0,bottom
D17,173.81,-152.19,0.0,bottom
D19,250.6389,-160.2206,300.0,bottom
D2,230.96,-101.09,0.0,bottom
D20,241.4031,-163.767,15.0,bottom
D21,221.435,-159.69,0.0,bottom
D3,211.91,-95.09,0.0,bottom
D4,192.86,-101.09,0.0,bottom
D5,173.81,-114.09,0.0,bottom
D7,250.01,-123.14,0.0,bottom
D8,230.96,-120.14,0.0,bottom
D9,211.91,-114.14,0.0,bottom
J1,267.3389,-150.0606,90.0,top
J2,264.51,-144.635,90.0,top
R1,263.0789,-139.5906,180.0,bottom
R2,267.5889,-139.6106,180.0,bottom
SW1,244.51,-100.09,180.0,top
SW10,187.36,-116.14,0.0,top
SW11,168.31,-129.14,0.0,top
SW13,244.51,-138.19,0.0,top
SW14,225.46,-135.19,0.0,top
SW15,206.41,-129.19,0.0,top
SW16,187.36,-135.19,0.0,top
SW17,168.31,-148.19,0.0,top
SW19,256.8725,-166.6592,150.0,top
SW2,225.46,-97.09,0.0,top
SW20,237.1258,-158.4798,345.0,top
SW21,215.935,-155.69,0.0,top
SW22,271.9639,-150.9106,270.0,bottom
SW23,268.7703,-161.0889,120.0,bottom
SW3,206.41,-91.09,0.0,top
SW4,187.36,-97.09,0.0,top
SW5,168.31,-110.09,0.0,top
SW7,244.51,-119.14,0.0,top
SW8,225.46,-116.14,0.0,top
SW9,206.41,-110.14,0.0,top
U1,264.51,-127.395,270.0,top
U2,264.4489,-118.7606,270.0,bottom
