Designator,Mid X,Mid Y,Rotation,Layer
D1,170.17,-102.17,180.0,bottom
D10,227.32,-118.22,180.0,bottom
D11,246.37,-131.22,180.0,bottom
D13,170.17,-140.27,180.0,bottom
D14,189.22,-137.27,180.0,bottom
D15,208.27,-131.27,180.0,bottom
D16,227.32,-137.27,180.0,bottom
D17,246.37,-150.27,180.0,bottom
D19,159.0706,-165.4533,150.0,bottom
D2,189.22,-99.17,180.0,bottom
D20,178.4021,-159.0,165.0,bottom
D21,198.745,-157.77,180.0,bottom
D3,208.27,-93.17,180.0,bottom
D4,227.32,-99.17,180.0,bottom
D5,246.37,-112.17,180.0,bottom
D7,170.17,-121.22,180.0,bottom
D8,189.22,-118.22,180.0,bottom
D9,208.27,-112.22,180.0,bottom
J1,142.87,-148.36,270.0,top
J2,144.67,-142.715,90.0,top
R1,144.67,-137.27,180.0,bottom
R2,148.54,-137.24,180.0,bottom
SW1,164.67,-98.17,0.0,top
SW10,221.82,-114.22,0.0,top
SW11,240.87,-127.22,0.0,top
SW13,164.67,-136.27,0.0,top
SW14,183.72,-133.27,0.0,top
SW15,202.77,-127.27,0.0,top
SW16,221.82,-133.27,0.0,top
SW17,240.87,-146.27,0.0,top
SW19,152.3075,-164.7392,30.0,top
SW2,183.72,-95.17,0.0,top
SW20,172.0542,-156.5598,15.0,top
SW21,193.245,-153.77,0.0,top
SW22,137.165,-148.99,90.0,bottom
SW23,139.879215,-157.8575,240.0,bottom
SW3,202.77,-89.17,0.0,top
SW4,221.82,-95.17,0.0,top
SW5,240.87,-108.17,0.0,top
SW7,164.67,-117.22,0.0,top
SW8,183.72,-114.22,0.0,top
SW9,202.77,-108.22,0.0,top
U1,144.67,-125.475,270.0,top
U2,144.9,-116.015,270.0,bottom
